Date,GI
1-Jan-20,0.098
10-Jan-20,0.108
17-Jan-20,0.1
26-Jan-20,0.108
2-Feb-20,0.099
11-Feb-20,0.111
18-Feb-20,0.094
27-Feb-20,0.201
5-Mar-20,0.126
14-Mar-20,0.117
21-Mar-20,0.123
30-Mar-20,0.166
6-Apr-20,0.154
15-Apr-20,0.221
22-Apr-20,0.133
1-May-20,0.146
8-May-20,0.2
17-May-20,0.16
2-Jun-20,0.144
9-Jun-20,0.127
5-Aug-20,0.134
28-Aug-20,0.174
6-Sep-20,0.162
29-Sep-20,0.183
8-Oct-20,0.212
15-Oct-20,0.195
31-Oct-20,0.156
16-Nov-20,0.168
25-Nov-20,0.154
2-Dec-20,0.128
11-Dec-20,0.164
18-Dec-20,0.106
27-Dec-20,0.098
